# file...... house_meter_cont.csv
# date...... Thu Apr 29 00:12:38 2021
# user...... midrar
# host...... (null)
# target.... triplex_meter 18
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,measured_real_power
2021-01-07 00:50:00 UTC,+1800
2021-01-07 01:00:00 UTC,+840
2021-01-07 01:10:00 UTC,+840
2021-01-07 01:20:00 UTC,+1240
2021-01-07 01:30:00 UTC,+640
2021-01-07 01:40:00 UTC,+640
2021-01-07 01:50:00 UTC,+800
2021-01-07 02:00:00 UTC,+1200
2021-01-07 02:10:00 UTC,+1200
2021-01-07 02:20:00 UTC,+640
2021-01-07 02:30:00 UTC,+640
2021-01-07 02:40:00 UTC,+640
2021-01-07 02:50:00 UTC,+680
2021-01-07 03:00:00 UTC,+1200
2021-01-07 03:10:00 UTC,+1200
2021-01-07 03:20:00 UTC,+640
2021-01-07 03:30:00 UTC,+720
2021-01-07 03:40:00 UTC,+720
2021-01-07 03:50:00 UTC,+1240
2021-01-07 04:00:00 UTC,+1840
2021-01-07 04:10:00 UTC,+1840
2021-01-07 04:20:00 UTC,+1600
2021-01-07 04:30:00 UTC,+3600
2021-01-07 04:40:00 UTC,+3600
2021-01-07 04:50:00 UTC,+2960
2021-01-07 05:00:00 UTC,+1600
2021-01-07 05:10:00 UTC,+1600
2021-01-07 05:20:00 UTC,+840
2021-01-07 05:30:00 UTC,+1480
2021-01-07 05:40:00 UTC,+1480
2021-01-07 05:50:00 UTC,+1440
2021-01-07 06:00:00 UTC,+880
2021-01-07 06:10:00 UTC,+880
2021-01-07 06:20:00 UTC,+3880
2021-01-07 06:30:00 UTC,+6880
2021-01-07 06:40:00 UTC,+6880
2021-01-07 06:50:00 UTC,+9040
2021-01-07 07:00:00 UTC,+4720
2021-01-07 07:10:00 UTC,+4720
2021-01-07 07:20:00 UTC,+4440
2021-01-07 07:30:00 UTC,+4560
2021-01-07 07:40:00 UTC,+4560
2021-01-07 07:50:00 UTC,+6400
2021-01-07 08:00:00 UTC,+5480
2021-01-07 08:10:00 UTC,+5480
2021-01-07 08:20:00 UTC,+7680
2021-01-07 08:30:00 UTC,+6600
2021-01-07 08:40:00 UTC,+6600
2021-01-07 08:50:00 UTC,+2600
2021-01-07 09:00:00 UTC,+3920
2021-01-07 09:10:00 UTC,+3920
2021-01-07 09:20:00 UTC,+5400
2021-01-07 09:30:00 UTC,+5840
2021-01-07 09:40:00 UTC,+5840
2021-01-07 09:50:00 UTC,+4360
2021-01-07 10:00:00 UTC,+4280
2021-01-07 10:10:00 UTC,+4280
2021-01-07 10:20:00 UTC,+4160
2021-01-07 10:30:00 UTC,+5480
2021-01-07 10:40:00 UTC,+5480
2021-01-07 10:50:00 UTC,+4360
2021-01-07 11:00:00 UTC,+4200
2021-01-07 11:10:00 UTC,+4200
2021-01-07 11:20:00 UTC,+2800
2021-01-07 11:30:00 UTC,+4080
2021-01-07 11:40:00 UTC,+4080
2021-01-07 11:50:00 UTC,+2680
2021-01-07 12:00:00 UTC,+2600
2021-01-07 12:10:00 UTC,+2600
2021-01-07 12:20:00 UTC,+3120
2021-01-07 12:30:00 UTC,+5000
2021-01-07 12:40:00 UTC,+5000
2021-01-07 12:50:00 UTC,+2640
2021-01-07 13:00:00 UTC,+2640
2021-01-07 13:10:00 UTC,+2640
2021-01-07 13:20:00 UTC,+4000
2021-01-07 13:30:00 UTC,+3720
2021-01-07 13:40:00 UTC,+3720
2021-01-07 13:50:00 UTC,+2600
2021-01-07 14:00:00 UTC,+2800
2021-01-07 14:10:00 UTC,+2800
2021-01-07 14:20:00 UTC,+3560
2021-01-07 14:30:00 UTC,+3520
2021-01-07 14:40:00 UTC,+3520
2021-01-07 14:50:00 UTC,+2720
2021-01-07 15:00:00 UTC,+2800
2021-01-07 15:10:00 UTC,+2800
2021-01-07 15:20:00 UTC,+3800
2021-01-07 15:30:00 UTC,+4800
2021-01-07 15:40:00 UTC,+4800
2021-01-07 15:50:00 UTC,+4320
2021-01-07 16:00:00 UTC,+3520
2021-01-07 16:10:00 UTC,+3520
2021-01-07 16:20:00 UTC,+3640
2021-01-07 16:30:00 UTC,+5720
2021-01-07 16:40:00 UTC,+5720
2021-01-07 16:50:00 UTC,+3680
2021-01-07 17:00:00 UTC,+3920
2021-01-07 17:10:00 UTC,+3920
2021-01-07 17:20:00 UTC,+5160
2021-01-07 17:30:00 UTC,+9040
2021-01-07 17:40:00 UTC,+9040
2021-01-07 17:50:00 UTC,+5840
2021-01-07 18:00:00 UTC,+4000
2021-01-07 18:10:00 UTC,+4000
2021-01-07 18:20:00 UTC,+6360
2021-01-07 18:30:00 UTC,+4360
2021-01-07 18:40:00 UTC,+4360
2021-01-07 18:50:00 UTC,+10320
2021-01-07 19:00:00 UTC,+5920
2021-01-07 19:10:00 UTC,+5920
2021-01-07 19:20:00 UTC,+4000
2021-01-07 19:30:00 UTC,+3720
2021-01-07 19:40:00 UTC,+3720
2021-01-07 19:50:00 UTC,+3640
2021-01-07 20:00:00 UTC,+3360
2021-01-07 20:10:00 UTC,+3360
2021-01-07 20:20:00 UTC,+4360
2021-01-07 20:30:00 UTC,+6440
2021-01-07 20:40:00 UTC,+6440
2021-01-07 20:50:00 UTC,+6240
2021-01-07 21:00:00 UTC,+4600
2021-01-07 21:10:00 UTC,+4600
2021-01-07 21:20:00 UTC,+6760
2021-01-07 21:30:00 UTC,+4000
2021-01-07 21:40:00 UTC,+4000
2021-01-07 21:50:00 UTC,+3200
2021-01-07 22:00:00 UTC,+3920
2021-01-07 22:10:00 UTC,+3920
2021-01-07 22:20:00 UTC,+3320
2021-01-07 22:30:00 UTC,+3120
2021-01-07 22:40:00 UTC,+3120
2021-01-07 22:50:00 UTC,+3240
2021-01-07 23:00:00 UTC,+4480
2021-01-07 23:10:00 UTC,+4480
2021-01-07 23:20:00 UTC,+2880
2021-01-07 23:30:00 UTC,+2240
2021-01-07 23:40:00 UTC,+2240
2021-01-07 23:50:00 UTC,+1160
2021-01-08 00:00:00 UTC,+1320
2021-01-08 00:10:00 UTC,+1320
2021-01-08 00:20:00 UTC,+1040
2021-01-08 00:30:00 UTC,+1080
2021-01-08 00:40:00 UTC,+1080
2021-01-08 00:50:00 UTC,+760
2021-01-08 01:00:00 UTC,+1040
2021-01-08 01:10:00 UTC,+1040
2021-01-08 01:20:00 UTC,+1560
2021-01-08 01:30:00 UTC,+640
2021-01-08 01:40:00 UTC,+640
2021-01-08 01:50:00 UTC,+600
2021-01-08 02:00:00 UTC,+1200
2021-01-08 02:10:00 UTC,+1200
2021-01-08 02:20:00 UTC,+560
2021-01-08 02:30:00 UTC,+1280
2021-01-08 02:40:00 UTC,+1280
2021-01-08 02:50:00 UTC,+560
2021-01-08 03:00:00 UTC,+1000
2021-01-08 03:10:00 UTC,+1000
2021-01-08 03:20:00 UTC,+480
2021-01-08 03:30:00 UTC,+520
2021-01-08 03:40:00 UTC,+520
2021-01-08 03:50:00 UTC,+600
2021-01-08 04:00:00 UTC,+920
2021-01-08 04:10:00 UTC,+920
2021-01-08 04:20:00 UTC,+440
2021-01-08 04:30:00 UTC,+640
2021-01-08 04:40:00 UTC,+640
2021-01-08 04:50:00 UTC,+680
2021-01-08 05:00:00 UTC,+2280
2021-01-08 05:10:00 UTC,+2280
2021-01-08 05:20:00 UTC,+1840
2021-01-08 05:30:00 UTC,+640
2021-01-08 05:40:00 UTC,+640
2021-01-08 05:50:00 UTC,+520
2021-01-08 06:00:00 UTC,+1200
2021-01-08 06:10:00 UTC,+1200
2021-01-08 06:20:00 UTC,+960
2021-01-08 06:30:00 UTC,+5600
2021-01-08 06:40:00 UTC,+5600
2021-01-08 06:50:00 UTC,+6680
2021-01-08 07:00:00 UTC,+5880
2021-01-08 07:10:00 UTC,+5880
2021-01-08 07:20:00 UTC,+8280
2021-01-08 07:30:00 UTC,+9160
2021-01-08 07:40:00 UTC,+9160
2021-01-08 07:50:00 UTC,+6760
2021-01-08 08:00:00 UTC,+5520
2021-01-08 08:10:00 UTC,+5520
2021-01-08 08:20:00 UTC,+6880
2021-01-08 08:30:00 UTC,+6480
2021-01-08 08:40:00 UTC,+6480
2021-01-08 08:50:00 UTC,+4360
2021-01-08 09:00:00 UTC,+2760
2021-01-08 09:10:00 UTC,+2760
2021-01-08 09:20:00 UTC,+4400
2021-01-08 09:30:00 UTC,+4240
2021-01-08 09:40:00 UTC,+4240
2021-01-08 09:50:00 UTC,+2400
2021-01-08 10:00:00 UTC,+2400
2021-01-08 10:10:00 UTC,+2400
2021-01-08 10:20:00 UTC,+2560
2021-01-08 10:30:00 UTC,+2400
2021-01-08 10:40:00 UTC,+2400
2021-01-08 10:50:00 UTC,+2360
2021-01-08 11:00:00 UTC,+2640
2021-01-08 11:10:00 UTC,+2640
2021-01-08 11:20:00 UTC,+2360
2021-01-08 11:30:00 UTC,+2400
2021-01-08 11:40:00 UTC,+2400
2021-01-08 11:50:00 UTC,+2680
2021-01-08 12:00:00 UTC,+2440
2021-01-08 12:10:00 UTC,+2440
2021-01-08 12:20:00 UTC,+2440
2021-01-08 12:30:00 UTC,+2600
2021-01-08 12:40:00 UTC,+2600
2021-01-08 12:50:00 UTC,+2520
2021-01-08 13:00:00 UTC,+2480
2021-01-08 13:10:00 UTC,+2480
2021-01-08 13:20:00 UTC,+2600
2021-01-08 13:30:00 UTC,+2520
2021-01-08 13:40:00 UTC,+2520
2021-01-08 13:50:00 UTC,+3360
2021-01-08 14:00:00 UTC,+2680
2021-01-08 14:10:00 UTC,+2680
2021-01-08 14:20:00 UTC,+2600
2021-01-08 14:30:00 UTC,+2480
2021-01-08 14:40:00 UTC,+2480
2021-01-08 14:50:00 UTC,+2480
2021-01-08 15:00:00 UTC,+2520
2021-01-08 15:10:00 UTC,+2520
2021-01-08 15:20:00 UTC,+2400
2021-01-08 15:30:00 UTC,+3400
2021-01-08 15:40:00 UTC,+3400
2021-01-08 15:50:00 UTC,+3560
2021-01-08 16:00:00 UTC,+4600
