timestamp,idk,idk2,rated_real_power,idk3,max_watts_hour,idk4,idk5,real_available_Wh,idk6,consumed_watts,op_state,time,avergae_watts
Mon Sep 20 13:00:37 2021,0,7107,800,6,3630,0,7,750,0,412.9,1,2021-10-07 13:00:00,2263.46
Mon Sep 20 13:01:38 2021,0,7120,800,6,3630,0,7,750,0,412.9,1,2021-10-07 13:01:00,2222.34
Mon Sep 20 13:02:38 2021,0,7133,800,6,3630,0,7,750,0,412.9,1,2021-10-07 13:02:00,2183.0
Mon Sep 20 13:03:39 2021,0,7146,800,6,3630,0,7,750,0,412.9,1,2021-10-07 13:03:00,2145.34
Mon Sep 20 13:04:39 2021,0,7159,800,6,3630,0,7,600,0,412.9,1,2021-10-07 13:04:00,2109.25
Mon Sep 20 13:05:40 2021,0,7172,800,6,3630,0,7,600,0,423.23,1,2021-10-07 13:05:00,2074.84
Mon Sep 20 13:06:41 2021,0,7185,800,6,3630,0,7,600,0,423.23,1,2021-10-07 13:06:00,2041.81
Mon Sep 20 13:07:41 2021,0,7198,800,6,3630,0,7,600,0,423.23,1,2021-10-07 13:07:00,2010.07
Mon Sep 20 13:08:42 2021,0,7211,800,6,3630,0,7,600,0,423.23,1,2021-10-07 13:08:00,1979.55
Mon Sep 20 13:09:42 2021,0,7224,800,6,3630,0,7,600,0,423.23,1,2021-10-07 13:09:00,1950.19
Mon Sep 20 13:10:43 2021,0,7237,800,6,3630,0,7,600,0,423.23,1,2021-10-07 13:10:00,1921.91
Mon Sep 20 13:11:43 2021,0,7250,800,6,3630,0,7,600,0,423.23,1,2021-10-07 13:11:00,1894.66
Mon Sep 20 13:12:44 2021,0,7263,800,6,3630,0,7,600,0,423.23,1,2021-10-07 13:12:00,1868.39
Mon Sep 20 13:13:45 2021,0,7276,800,6,3630,0,7,600,0,423.23,1,2021-10-07 13:13:00,1843.03
Mon Sep 20 13:14:45 2021,0,7289,800,6,3630,0,7,525,0,423.23,1,2021-10-07 13:14:00,1818.55
Mon Sep 20 13:15:46 2021,0,7302,800,6,3630,0,7,525,0,423.23,1,2021-10-07 13:15:00,1794.9
Mon Sep 20 13:16:46 2021,0,7315,800,6,3630,0,7,525,0,423.23,1,2021-10-07 13:16:00,1772.04
Mon Sep 20 13:17:47 2021,0,7328,800,6,3630,0,7,525,0,423.23,1,2021-10-07 13:17:00,1749.93
Mon Sep 20 13:18:48 2021,0,7341,800,6,3630,0,7,525,0,433.55,1,2021-10-07 13:18:00,1728.7
Mon Sep 20 13:19:48 2021,0,7354,800,6,3630,0,7,525,0,433.55,1,2021-10-07 13:19:00,1708.14
Mon Sep 20 13:20:49 2021,0,7367,800,6,3630,0,7,525,0,433.55,1,2021-10-07 13:20:00,1688.23
Mon Sep 20 13:21:49 2021,0,7380,800,6,3630,0,7,525,0,433.55,1,2021-10-07 13:21:00,1668.92
Mon Sep 20 13:22:50 2021,0,7393,800,6,3630,0,7,450,0,433.55,1,2021-10-07 13:22:00,1650.21
Mon Sep 20 13:23:51 2021,0,7406,800,6,3630,0,7,450,0,433.55,1,2021-10-07 13:23:00,1632.05
Mon Sep 20 13:24:51 2021,0,7419,800,6,3630,0,7,375,0,433.55,1,2021-10-07 13:24:00,1614.42
Mon Sep 20 13:25:52 2021,0,7432,800,6,3630,0,7,375,0,433.55,1,2021-10-07 13:25:00,1597.31
Mon Sep 20 13:26:52 2021,0,7445,800,6,3630,0,7,375,0,433.55,1,2021-10-07 13:26:00,1580.68
Mon Sep 20 13:27:53 2021,0,7458,800,6,3630,0,7,375,0,433.55,1,2021-10-07 13:27:00,1564.53
Mon Sep 20 13:28:53 2021,0,7471,800,6,3630,0,7,375,0,433.55,1,2021-10-07 13:28:00,1548.82
Mon Sep 20 13:29:54 2021,0,7484,800,6,3630,0,7,225,0,433.55,1,2021-10-07 13:29:00,1533.54
Mon Sep 20 13:30:55 2021,0,7497,800,6,3630,0,7,225,0,433.55,1,2021-10-07 13:30:00,1518.67
Mon Sep 20 13:31:55 2021,0,7510,800,6,3630,0,7,225,0,433.55,1,2021-10-07 13:31:00,1504.21
Mon Sep 20 13:32:56 2021,0,7523,800,6,3630,0,7,225,0,433.55,1,2021-10-07 13:32:00,1490.12
Mon Sep 20 13:33:56 2021,0,7536,800,6,3630,0,7,225,0,433.55,1,2021-10-07 13:33:00,1476.4
Mon Sep 20 13:34:57 2021,0,7549,800,6,3630,0,7,225,0,433.55,1,2021-10-07 13:34:00,1463.03
Mon Sep 20 13:35:58 2021,0,7575,800,6,3630,0,7,225,0,443.87,1,2021-10-07 13:35:00,1450.13
Mon Sep 20 13:36:58 2021,0,7588,800,6,3630,0,7,225,0,443.87,1,2021-10-07 13:36:00,1437.55
Mon Sep 20 13:37:59 2021,0,7601,800,6,3630,0,7,225,0,443.87,1,2021-10-07 13:37:00,1425.28
Mon Sep 20 13:38:59 2021,0,7614,800,6,3630,0,7,75,0,443.87,1,2021-10-07 13:38:00,1413.31
Mon Sep 20 13:40:00 2021,0,7627,800,6,3630,0,7,75,0,443.87,1,2021-10-07 13:40:00,1401.63
Mon Sep 20 13:41:01 2021,0,7640,800,6,3630,0,7,75,0,433.55,1,2021-10-07 13:41:00,1390.11
Mon Sep 20 13:42:01 2021,0,7653,800,6,3630,0,7,75,0,433.55,1,2021-10-07 13:42:00,1378.85
Mon Sep 20 13:43:02 2021,0,7666,800,6,3630,0,7,75,0,433.55,1,2021-10-07 13:43:00,1367.86
Mon Sep 20 13:44:02 2021,0,7679,800,6,3630,0,7,75,0,443.87,1,2021-10-07 13:44:00,1357.24
Mon Sep 20 13:45:03 2021,0,7692,800,6,3630,0,7,75,0,443.87,1,2021-10-07 13:45:00,1346.86
Mon Sep 20 13:46:03 2021,0,7705,800,6,3630,0,7,0,0,443.87,1,2021-10-07 13:46:00,1336.72
Mon Sep 20 13:47:04 2021,0,7718,800,6,3630,0,7,0,0,443.87,1,2021-10-07 13:47:00,1326.8
Mon Sep 20 13:48:05 2021,0,7731,800,6,3630,0,7,0,0,443.87,1,2021-10-07 13:48:00,1317.09
Mon Sep 20 13:49:05 2021,0,7744,800,6,3630,0,7,0,0,454.19,1,2021-10-07 13:49:00,1307.71
Mon Sep 20 13:50:06 2021,0,7757,800,6,3630,0,7,0,0,443.87,1,2021-10-07 13:50:00,1298.43
Mon Sep 20 13:51:06 2021,0,7770,800,6,3630,0,7,0,0,454.19,1,2021-10-07 13:51:00,1289.44
Mon Sep 20 13:52:07 2021,0,7783,800,6,3630,0,7,0,0,454.19,1,2021-10-07 13:52:00,1280.65
Mon Sep 20 13:53:07 2021,0,7796,800,6,3630,0,7,0,0,454.19,1,2021-10-07 13:53:00,1272.04
Mon Sep 20 13:54:08 2021,0,7809,800,6,3630,0,7,0,0,443.87,1,2021-10-07 13:54:00,1263.51
Mon Sep 20 13:55:08 2021,0,7822,800,6,3630,0,7,0,0,454.19,1,2021-10-07 13:55:00,1255.25
Mon Sep 20 13:56:09 2021,0,7835,800,6,3630,0,7,0,0,454.19,1,2021-10-07 13:56:00,1247.16
Mon Sep 20 13:57:09 2021,0,7848,800,6,3630,0,7,0,0,454.19,1,2021-10-07 13:57:00,1239.23
Mon Sep 20 13:58:10 2021,0,7861,800,6,3630,0,7,0,0,454.19,1,2021-10-07 13:58:00,1231.45
Mon Sep 20 13:59:11 2021,0,7874,800,6,3630,0,7,0,0,454.19,1,2021-10-07 13:59:00,1223.83
Mon Sep 20 14:00:11 2021,0,7887,800,6,3630,0,7,0,0,454.19,1,2021-10-07 14:00:00,1216.36
Mon Sep 20 14:01:12 2021,0,7900,800,6,3630,0,7,0,0,454.19,1,2021-10-07 14:01:00,1209.03
Mon Sep 20 14:02:12 2021,0,7913,800,6,3630,0,7,0,0,454.19,1,2021-10-07 14:02:00,1201.84
Mon Sep 20 14:03:13 2021,0,7926,800,6,3630,0,7,0,0,454.19,1,2021-10-07 14:03:00,1194.79
Mon Sep 20 14:04:13 2021,0,7939,800,6,3630,0,7,0,0,454.19,1,2021-10-07 14:04:00,1187.87
Mon Sep 20 14:05:14 2021,0,7952,800,6,3630,0,7,0,0,464.52,1,2021-10-07 14:05:00,1181.17
Mon Sep 20 14:06:15 2021,0,7965,800,6,3630,0,7,0,0,454.19,1,2021-10-07 14:06:00,1174.5
Mon Sep 20 14:07:15 2021,0,7978,800,6,3630,0,7,0,0,454.19,1,2021-10-07 14:07:00,1167.95
Mon Sep 20 14:08:16 2021,0,7991,800,6,3630,0,7,0,0,454.19,1,2021-10-07 14:08:00,1161.52
Mon Sep 20 14:09:16 2021,0,8004,800,6,3630,0,7,0,0,454.19,1,2021-10-07 14:09:00,1155.21
Mon Sep 20 14:10:17 2021,0,8017,800,6,3630,0,7,0,0,454.19,1,2021-10-07 14:10:00,1149.0
Mon Sep 20 14:11:17 2021,0,8030,800,6,3630,0,7,0,0,41.29,0,2021-10-07 14:11:00,1139.29
Mon Sep 20 14:12:18 2021,0,8030,0,6,3630,0,7,0,0,30.97,0,2021-10-07 14:12:00,1129.65
Mon Sep 20 14:13:19 2021,0,8030,0,6,3630,0,7,0,0,41.29,0,2021-10-07 14:13:00,1120.27
Mon Sep 20 14:14:19 2021,0,8030,0,6,3630,0,7,0,0,41.29,0,2021-10-07 14:14:00,1111.04
