timestamp,idk,cumsum,rated_real_power,idk3,max_watts_hour,idk4,idk5,real_available_Wh,idk6,consumed_watts,idk7
Fri Aug 13 01:14:57 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 01:15:57 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 01:16:58 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 01:17:59 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 01:18:59 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 01:20:00 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 01:21:00 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 01:22:01 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 01:23:02 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 01:24:02 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 01:25:03 2021,0,1443,0,6,3630,0,7,150,0,0,0
Fri Aug 13 01:26:03 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 01:27:04 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 01:28:05 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 01:29:05 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 01:30:06 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 01:31:06 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 01:32:07 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 01:33:08 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 01:34:08 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 01:35:09 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 01:36:09 2021,0,1443,0,6,3630,0,7,300,0,10.3226,0
Fri Aug 13 01:37:10 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 01:38:10 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 01:39:11 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 01:40:12 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 01:41:12 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 01:42:13 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 01:43:13 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 01:44:14 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 01:45:14 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 01:46:15 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 01:47:16 2021,0,1443,0,6,3630,0,7,300,0,0,0
