timestamp,idk,idk2,rated_real_power,idk3,max_watts_hour,idk4,idk5,real_available_Wh,idk6,consumed_watts,op_state
Mon Sep 20 01:00:42 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:01:43 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:02:43 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:03:44 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:04:44 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:05:45 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:06:45 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:07:46 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:08:47 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:09:47 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:10:48 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:11:48 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:12:49 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:13:50 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:14:50 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:15:51 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:16:51 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:17:52 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:18:52 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:19:53 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:20:54 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:21:54 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:22:55 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:23:55 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:24:56 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:25:56 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:26:57 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:27:58 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:28:58 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:29:59 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:30:59 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:32:00 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:33:00 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:34:01 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:35:02 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:36:02 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:37:03 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 01:38:03 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
