2001-01-01 00:00:00,OPEN
2001-01-01 00:00:01,OPEN
2001-01-01 00:00:02,OPEN
2001-01-01 00:00:03,OPEN
2001-01-01 00:00:04,OPEN
2001-01-01 00:00:05,OPEN
2001-01-01 00:00:06,OPEN
2001-01-01 00:00:07,OPEN
2001-01-01 00:00:08,OPEN
2001-01-01 00:00:09,OPEN
2001-01-01 00:00:10,OPEN
2001-01-01 00:00:11,OPEN
2001-01-01 00:00:12,OPEN
2001-01-01 00:00:13,OPEN
2001-01-01 00:00:14,OPEN
2001-01-01 00:00:15,OPEN
2001-01-01 00:00:16,OPEN
2001-01-01 00:00:17,OPEN
2001-01-01 00:00:18,OPEN
2001-01-01 00:00:19,OPEN
2001-01-01 00:00:20,OPEN
2001-01-01 00:00:21,OPEN
2001-01-01 00:00:22,OPEN
2001-01-01 00:00:23,OPEN
2001-01-01 00:00:24,OPEN
2001-01-01 00:00:25,OPEN
2001-01-01 00:00:26,OPEN
2001-01-01 00:00:27,OPEN
2001-01-01 00:00:28,OPEN
2001-01-01 00:00:29,OPEN
2001-01-01 00:00:30,OPEN
2001-01-01 00:00:31,OPEN
2001-01-01 00:00:32,OPEN
2001-01-01 00:00:33,OPEN
2001-01-01 00:00:34,OPEN
2001-01-01 00:00:35,OPEN
2001-01-01 00:00:36,OPEN
2001-01-01 00:00:37,OPEN
2001-01-01 00:00:38,OPEN
2001-01-01 00:00:39,OPEN
2001-01-01 00:00:40,OPEN
2001-01-01 00:00:41,OPEN
2001-01-01 00:00:42,OPEN
2001-01-01 00:00:43,OPEN
2001-01-01 00:00:44,OPEN
2001-01-01 00:00:45,OPEN
2001-01-01 00:00:46,OPEN
2001-01-01 00:00:47,OPEN
2001-01-01 00:00:48,OPEN
2001-01-01 00:00:49,OPEN
2001-01-01 00:00:50,OPEN
2001-01-01 00:00:51,OPEN
2001-01-01 00:00:52,OPEN
2001-01-01 00:00:53,OPEN
2001-01-01 00:00:54,OPEN
2001-01-01 00:00:55,OPEN
2001-01-01 00:00:56,OPEN
2001-01-01 00:00:57,OPEN
2001-01-01 00:00:58,OPEN
2001-01-01 00:00:59,OPEN
