# timestamp,tank_setpoint,waterheater_model,power.real,constant_power,constant_current,water_demand,temperature,is_waterheater_on
2020-01-01 16:00:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+120,+0
2020-01-01 16:10:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.94,+0
2020-01-01 16:20:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.88,+0
2020-01-01 16:30:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.82,+0
2020-01-01 16:40:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.76,+0
2020-01-01 16:50:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.25,+119.7,+0
2020-01-01 17:00:00 PST,+117,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.354,+0
2020-01-01 17:10:00 PST,+117,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.295,+0
2020-01-01 17:20:00 PST,+117,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.236,+0
2020-01-01 17:30:00 PST,+117,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.177,+0
2020-01-01 17:40:00 PST,+117,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.117,+0
2020-01-01 17:50:00 PST,+117,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.058,+0
2020-01-01 18:00:00 PST,+117,ONEZNODE,+0,+0+0j,+0+0j,+0,+118.999,+0
2020-01-01 18:10:00 PST,+117,ONEZNODE,+0,+0+0j,+0+0j,+0.16,+118.941,+0
2020-01-01 18:20:00 PST,+117,ONEZNODE,+0,+0+0j,+0+0j,+0,+117.028,+0
2020-01-01 18:30:00 PST,+117,ONEZNODE,+0,+0+0j,+0+0j,+0,+116.971,+0
2020-01-01 18:40:00 PST,+117,ONEZNODE,+0,+0+0j,+0+0j,+0,+116.915,+0
2020-01-01 18:50:00 PST,+117,ONEZNODE,+0,+0+0j,+0+0j,+0,+116.859,+0
2020-01-01 19:00:00 PST,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0,+116.803,+1
2020-01-01 19:10:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.965,+0
2020-01-01 19:20:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.904,+0
2020-01-01 19:30:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.844,+0
2020-01-01 19:40:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.784,+0
2020-01-01 19:50:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.724,+0
2020-01-01 20:00:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.665,+0
2020-01-01 20:10:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.605,+0
2020-01-01 20:20:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.545,+0
2020-01-01 20:30:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.486,+0
2020-01-01 20:40:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.426,+0
2020-01-01 20:50:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.367,+0
2020-01-01 21:00:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.307,+0
2020-01-01 21:10:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.248,+0
2020-01-01 21:20:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.189,+0
2020-01-01 21:30:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.129,+0
2020-01-01 21:40:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.07,+0
2020-01-01 21:50:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.011,+0
2020-01-01 22:00:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+118.953,+0
2020-01-01 22:10:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+118.894,+0
2020-01-01 22:20:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+118.835,+0
2020-01-01 22:30:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+118.776,+0
2020-01-01 22:40:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+118.718,+0
2020-01-01 22:50:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+118.659,+0
2020-01-01 23:00:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+118.601,+0
2020-01-01 23:10:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+118.542,+0
2020-01-01 23:20:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+118.484,+0
2020-01-01 23:30:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+118.426,+0
2020-01-01 23:40:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+118.368,+0
2020-01-01 23:50:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+118.309,+0
2020-01-02 00:00:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+118.251,+0
2020-01-02 00:10:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+118.193,+0
2020-01-02 00:20:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+118.136,+0
2020-01-02 00:30:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+118.078,+0
2020-01-02 00:40:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+118.02,+0
2020-01-02 00:50:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.973,+0
2020-01-02 01:00:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.913,+0
2020-01-02 01:10:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.853,+0
2020-01-02 01:20:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.793,+0
2020-01-02 01:30:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.733,+0
2020-01-02 01:40:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.673,+0
2020-01-02 01:50:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.613,+0
2020-01-02 02:00:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.553,+0
2020-01-02 02:10:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.494,+0
2020-01-02 02:20:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.434,+0
2020-01-02 02:30:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.39,+119.374,+0
2020-01-02 02:40:00 PST,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0,+119.045,+1
2020-01-02 02:50:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.01,+119.94,+0
2020-01-02 03:00:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.76,+0
2020-01-02 03:10:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.7,+0
2020-01-02 03:20:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.64,+0
2020-01-02 03:30:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.58,+0
2020-01-02 03:40:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.521,+0
2020-01-02 03:50:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.32,+119.461,+0
2020-01-02 04:00:00 PST,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0,+119.414,+1
2020-01-02 04:10:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.943,+0
2020-01-02 04:20:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.883,+0
2020-01-02 04:30:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.13,+119.823,+0
2020-01-02 04:40:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+118.229,+0
2020-01-02 04:50:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.09,+118.171,+0
2020-01-02 05:00:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.23,+119.495,+0
2020-01-02 05:10:00 PST,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0,+119.538,+1
2020-01-02 05:20:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.935,+0
2020-01-02 05:30:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.874,+0
2020-01-02 05:40:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.814,+0
2020-01-02 05:50:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.48,+119.754,+0
2020-01-02 06:00:00 PST,+119,TWONODE,+4.5,+0+0j,+0+0j,+0.88,+118.318,+1
2020-01-02 06:10:00 PST,+119,TWONODE,+4.5,+0+0j,+0+0j,+0,+118.318,+1
2020-01-02 06:20:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.986,+0
2020-01-02 06:30:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.926,+0
2020-01-02 06:40:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.866,+0
2020-01-02 06:50:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.806,+0
2020-01-02 07:00:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.746,+0
2020-01-02 07:10:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.686,+0
2020-01-02 07:20:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.626,+0
2020-01-02 07:30:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.566,+0
2020-01-02 07:40:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.507,+0
2020-01-02 07:50:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.447,+0
2020-01-02 08:00:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.388,+0
2020-01-02 08:10:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.328,+0
2020-01-02 08:20:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.269,+0
2020-01-02 08:30:00 PST,+119,TWONODE,+4.5,+0+0j,+0+0j,+0.61,+119.209,+1
2020-01-02 08:40:00 PST,+119,TWONODE,+4.5,+0+0j,+0+0j,+0,+119.209,+1
2020-01-02 08:50:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.953,+0
2020-01-02 09:00:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.893,+0
2020-01-02 09:10:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.833,+0
2020-01-02 09:20:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.773,+0
2020-01-02 09:30:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.713,+0
2020-01-02 09:40:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.653,+0
2020-01-02 09:50:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.593,+0
2020-01-02 10:00:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.533,+0
2020-01-02 10:10:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.474,+0
2020-01-02 10:20:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.414,+0
2020-01-02 10:30:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.355,+0
2020-01-02 10:40:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.295,+0
2020-01-02 10:50:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.236,+0
2020-01-02 11:00:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.177,+0
2020-01-02 11:10:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.117,+0
2020-01-02 11:20:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.058,+0
2020-01-02 11:30:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+118.999,+0
2020-01-02 11:40:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+118.94,+0
2020-01-02 11:50:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+118.882,+0
2020-01-02 12:00:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+118.823,+0
2020-01-02 12:10:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+118.764,+0
2020-01-02 12:20:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+118.705,+0
2020-01-02 12:30:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+118.647,+0
2020-01-02 12:40:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+118.588,+0
2020-01-02 12:50:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+118.53,+0
2020-01-02 13:00:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+118.472,+0
2020-01-02 13:10:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+118.413,+0
2020-01-02 13:20:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+118.355,+0
2020-01-02 13:30:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+118.297,+0
2020-01-02 13:40:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+118.239,+0
2020-01-02 13:50:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.41,+118.181,+0
2020-01-02 14:00:00 PST,+119,ONEZNODE,+4.5,+0+0j,+0+0j,+0,+119.191,+1
2020-01-02 14:10:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0.12,+119.944,+0
2020-01-02 14:20:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+118.464,+0
2020-01-02 14:30:00 PST,+119,TWONODE,+4.5,+0+0j,+0+0j,+0.92,+118.405,+1
2020-01-02 14:40:00 PST,+119,TWONODE,+4.5,+0+0j,+0+0j,+0.3,+118.405,+1
2020-01-02 14:50:00 PST,+119,TWONODE,+4.5,+0+0j,+0+0j,+0,+118.405,+1
2020-01-02 15:00:00 PST,+119,TWONODE,+4.5,+0+0j,+0+0j,+0.78,+119.973,+1
2020-01-02 15:10:00 PST,+119,TWONODE,+4.5,+0+0j,+0+0j,+0,+119.973,+1
2020-01-02 15:20:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+120.021,+0
2020-01-02 15:30:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.961,+0
2020-01-02 15:40:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.901,+0
2020-01-02 15:50:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.84,+0
2020-01-02 16:00:00 PST,+119,ONEZNODE,+0,+0+0j,+0+0j,+0,+119.78,+0
